name,cwe_id
electron,CWE-787
electron,CWE-20
electron,CWE-20
electron,CWE-1188
electron,CWE-501
electron,CWE-668
electron,CWE-668
electron,CWE-668
electron,CWE-552
electron,CWE-862
electron,CWE-78
electron,CWE-787
electron,CWE-78
electron,CWE-670
electron,CWE-200
electron-markdownify,CWE-552
electron-packager,CWE-295
element-plus,CWE-79
elliptic,CWE-327
elliptic,CWE-190
embedza,CWE-311
emojione,CWE-79
engine.io,CWE-248
engine.io,CWE-755
engine.io,CWE-754
engine.io,CWE-248
engine.io,CWE-400
engine.io-client,CWE-300
enpeem,CWE-78
epubjs,CWE-79
erxes,CWE-79
es6-crawler-detect,CWE-400
eslint-config-airbnb-standard,CWE-506
eslint-detailed-reporter,CWE-79
eslint-fixer,CWE-77
eslint-scope,CWE-506
eslint-utils,CWE-20
esm,CWE-400
eta,CWE-94
eta,CWE-79
eth-ledger-bridge-keyring,CWE-287
ethereumjs-vm,CWE-119
event-stream,CWE-506
eventsource,CWE-200
eventsource,CWE-212
exceljs,CWE-79
exiftool-vendored,CWE-74
expand-hash,CWE-1321
expand-hash,CWE-915
express,CWE-79
express-brute,CWE-77
express-cart,CWE-89
express-cart,CWE-22
express-cart,CWE-290
express-cart,CWE-79
express-cart,CWE-352
express-fileupload,CWE-915
express-fileupload,CWE-1321
express-fileupload,CWE-434
express-handlebars,CWE-94
express-handlebars,CWE-200
express-hbs,CWE-200
express-hbs,CWE-94
express-jwt,CWE-285
express-jwt,CWE-863
express-openid-connect,CWE-384
express-openid-connect,CWE-601
express-param,CWE-235
express-restify-mongoose,CWE-200
express-zod-api,CWE-1333
external-svg-loader,CWE-79
f-serv,CWE-22
f2e-server,CWE-22
fancy-server,CWE-22
fast-csv,CWE-400
fast-http-cli,CWE-22
fast-json-patch,CWE-1321
fast-xml-parser,CWE-1321
fast-xml-parser,CWE-1333
fastify,CWE-770
fastify,CWE-400
fastify,CWE-352
fastify,CWE-400
fastify,CWE-754
fastify-bearer-auth,CWE-203
fastify-bearer-auth,CWE-208
fastify-csrf,CWE-352
fastify-csrf,CWE-565
fastify-csrf,CWE-352
fastify-http-proxy,CWE-20
fastify-multipart,CWE-400
fastify-multipart,CWE-400
fastify-reply-from,CWE-20
fastify-static,CWE-248
fastify-static,CWE-601
fastify-static,CWE-601
fb-tools,CWE-506
fca-disme,CWE-506
fca-trankhuong,CWE-506
feathers-sequelize,CWE-1321
feathers-sequelize,CWE-89
feathers-sequelize,CWE-89
featurebook,CWE-22
fhir-works-on-aws-authz-smart,CWE-200
fhir-works-on-aws-authz-smart,CWE-281
field,CWE-1321
field,CWE-915
file-type,CWE-835
file-upload-with-preview,CWE-79
find-my-way,CWE-444
flat,CWE-1321
flintcms,CWE-89
flipper-frontend-core,CWE-506
flipper-plugin-core,CWE-506
flipper-server-companion,CWE-506
fluture-node,CWE-212
fluture-node,CWE-359
fluture-node,CWE-601
fluture-node,CWE-200
follow-redirects,CWE-359
follow-redirects,CWE-200
follow-redirects,CWE-212
fomantic-ui,CWE-79
foreman,CWE-400
forms,CWE-80
forms,CWE-400
freediskspace,CWE-78
fresh,CWE-400
froala-editor,CWE-79
froala-editor,CWE-79
froala-editor,CWE-79
frourio,CWE-1321
frourio,CWE-20
frourio-express,CWE-1321
frourio-express,CWE-20
fs-git,CWE-77
fs-git,CWE-78
fsa,CWE-78
fsevents,CWE-506
fsevents,CWE-94
fstream,CWE-59
ftp-srv,CWE-918
ftp-srv,CWE-918
ftp-srv,CWE-22
fuelux,CWE-79
fullpage.js,CWE-1321
fullpage.js,CWE-79
fury-adapter-swagger,CWE-22
galenframework-cli,CWE-311
gammautils,CWE-1321
gatsby,CWE-22
gatsby-plugin-mdx,CWE-502
gatsby-plugin-sharp,CWE-22
gatsby-source-wordpress,CWE-200
gatsby-source-wordpress,CWE-522
gatsby-transformer-remark,CWE-20
gatsby-transformer-remark,CWE-79
geddy,CWE-22
gedi,CWE-1321
generator-hottowel,CWE-79
generator-jhipster,CWE-338
generator-jhipster,CWE-494
generator-jhipster,CWE-829
generator-jhipster,CWE-89
generator-jhipster-kotlin,CWE-338
generator-jhipster-kotlin,CWE-117
genieacs,CWE-78
get-git-data,CWE-78
gethue,CWE-200
getobject,CWE-1321
getsetdeep,CWE-1321
ghost,CWE-22
ghost,CWE-59
ghost,CWE-200
ghost,CWE-79
ghost,CWE-434
ghost,CWE-284
ghost,CWE-22
ghost,CWE-269
ghost,CWE-200
ghost,CWE-88
ghost,CWE-918
git-commit-info,CWE-77
git-commit-info,CWE-78
git-diff-apply,CWE-78
git-interface,CWE-88
git-interface,CWE-78
gitbook,CWE-79
github-todos,CWE-78
gitlabhook,CWE-78
gitlabhook,CWE-506
gitlog,CWE-77
gitsome,CWE-78
glance,CWE-79
glance,CWE-22
glance,CWE-22
glob-parent,CWE-400
glob-parent,CWE-1333
glob-parent,CWE-400
global-modules-path,CWE-77
gm,CWE-77
gmail-js,CWE-79
go-ipfs-dep,CWE-311
google-closure-library,CWE-79
google-closure-library,CWE-20
google-it,CWE-78
google-it,CWE-74
googleapis,CWE-285
grapesjs,CWE-79
graphiql,CWE-79
graphql,CWE-400
graphql-playground-html,CWE-79
graphql-playground-react,CWE-79
graphql-shield,CWE-285
grpc,CWE-1321
grpc,CWE-915
grunt,CWE-22
grunt,CWE-1188
grunt,CWE-367
grunt-ccompiler,CWE-311
grunt-gh-pages,CWE-391
grunt-karma,CWE-1321
grunt-webdriver-qunit,CWE-311
gry,CWE-77
gulp-scss-lint,CWE-78
gulp-tape,CWE-78
gun,CWE-22
haml-coffee,CWE-79
handlebars,CWE-1321
handlebars,CWE-400
handlebars,CWE-1321
handlebars,CWE-1321
handlebars,CWE-471
handlebars,CWE-400
handlebars,CWE-74
handlebars,CWE-94
handlebars,CWE-94
handlebars,CWE-79
handsontable,CWE-1333
hapi,CWE-352
hapi,CWE-400
hapi,CWE-284
hapi,CWE-284
hapi,CWE-400
hapi,CWE-400
hapi-auth-jwt2,CWE-287
hardhat-croned,CWE-506
harp,CWE-548
harp,CWE-22
hawaii-webchat,CWE-506
hawk,CWE-1333
hawk,CWE-400
hawk,CWE-1333
haxe,CWE-269
haxe,CWE-311
haxe-dev,CWE-311
hbs,CWE-94
hbs,CWE-538
hbs,CWE-200
hekto,CWE-22
hekto,CWE-601
hellojs,CWE-79
hellojs,CWE-1321
heroku-addonpool,CWE-78
hexo,CWE-79
highcharts,CWE-79
highcharts,CWE-79
highcharts,CWE-1333
highcharts-export-server,CWE-552
highlight.js,CWE-471
highlight.js,CWE-20
highlight.js,CWE-400
highlight.run,CWE-319
hoek,CWE-1321
hosted-git-info,CWE-400
hostr,CWE-22
hot-formula-parser,CWE-94
html-janitor,CWE-642
html-janitor,CWE-547
html-janitor,CWE-79
html-pages,CWE-64
html-pages,CWE-22
html-pages,CWE-35
html-pages,CWE-79
html-pdf,CWE-200
html-pdf,CWE-79
html-pdf,CWE-73
html-pdf,CWE-668
html-pdf-chrome,CWE-918
htmr,CWE-79
http-cache-semantics,CWE-1333
http-proxy,CWE-703
http-proxy-agent,CWE-400
http-proxy-agent,CWE-665
http-signature,CWE-20
https-proxy-agent,CWE-125
https-proxy-agent,CWE-400
https-proxy-agent,CWE-300
httpster,CWE-22
hubl-server,CWE-311
hubot-scripts,CWE-74
hummus,CWE-690
hummus,CWE-690
i,CWE-1333
i18n-node-angular,CWE-74
i18n-node-angular,CWE-400
i18next,CWE-79
i18next,CWE-79
ibapi,CWE-269
ibapi,CWE-311
ibm_db,CWE-311
ids-enterprise,CWE-79
ids-enterprise,CWE-79
ids-enterprise,CWE-79
iedriver,CWE-311
im-resize,CWE-78
imageoptim,CWE-311
immer,CWE-843
immer,CWE-1321
immer,CWE-915
immer,CWE-471
immer,CWE-1321
import-in-the-middle,CWE-20
inert,CWE-22
ini,CWE-1321
insight-api,CWE-20
install-package,CWE-78
iobroker.admin,CWE-22
iobroker.js-controller,CWE-22
iobroker.web,CWE-79
ipfs-bitswap,CWE-400
ipns,CWE-287
is-email,CWE-400
is-email,CWE-20
is-my-json-valid,CWE-400
is-my-json-valid,CWE-1333
is-user-valid,CWE-90
is-user-valid,CWE-74
is_js,CWE-1333
is_js,CWE-400
isomorphic-git,CWE-22
izimodal,CWE-79
jingo,CWE-79
jison,CWE-78
jodit,CWE-79
jointjs,CWE-400
jointjs,CWE-400
jointjs,CWE-1321
jointjs,CWE-843
joplin,CWE-79
joplin,CWE-79
joplin,CWE-79
joplin,CWE-79
joplin,CWE-79
joplin,CWE-79
joplin,CWE-79
joplin,CWE-352
jose,CWE-834
jose,CWE-400
jose,CWE-696
jose,CWE-203
jpeg-js,CWE-400
jpeg-js,CWE-835
jqtree,CWE-79
jquery,CWE-79
jquery,CWE-79
jquery,CWE-64
jquery,CWE-79
jquery,CWE-79
jquery,CWE-79
jquery,CWE-79
jquery,CWE-79
jquery,CWE-79
jquery,CWE-1321
jquery,CWE-400
jquery-deparam,CWE-1321
jquery-file-upload,CWE-434
jquery-ui,CWE-79
jquery-ui,CWE-79
jquery-ui,CWE-79
jquery-ui,CWE-79
jquery-ui,CWE-79
jquery-ui,CWE-79
jquery-ui,CWE-79
jquery-ujs,CWE-352
jquery-validation,CWE-400
jquery-validation,CWE-1333
jquery-validation,CWE-1333
jquery.terminal,CWE-80
jquery.terminal,CWE-79
jquery.terminal,CWE-79
js-data,CWE-1321
js-data,CWE-1321
js-given,CWE-311
js-ini,CWE-1321
js-yaml,CWE-20
js-yaml,CWE-94
js-yaml,CWE-400
jsdom,CWE-1220
jser-stat,CWE-311
json,CWE-78
json-bigint,CWE-400
json-logic-js,CWE-77
json-logic-js,CWE-471
json-ptr,CWE-74
json-ptr,CWE-1321
json-ptr,CWE-74
json-ptr,CWE-400
json-ptr,CWE-1321
json-ptr,CWE-843
json8,CWE-1321
